Rank|Title|Year|Lifetime Gross|Studio
257|What Lies Beneath|2000|155464351|DW
258|The Mummy|1999|155385488|Uni.
259|Snow White and the Huntsman|2012|155332381|Uni.
260|Fast and Furious|2009|155064265|Uni.
261|Over the Hedge|2006|155019340|P/DW
262|Fantastic Four (2005)|2005|154696080|Fox
263|Dr. Seuss' Horton Hears a Who!|2008|154529439|Fox
264|Jerry Maguire|1996|153952592|Sony
265|Beverly Hills Cop II|1987|153665036|Par.
266|Scooby-Doo|2002|153294164|WB
267|Gremlins|1984|153083102|WB
268|Sex and the City|2008|152647258|WB (NL)
269|Runaway Bride|1999|152257509|Par.
270|Divergent|2014|150947895|LG/S
271|Rambo: First Blood Part II|1985|150415432|TriS
272|We're the Millers|2013|150394119|WB
273|Terminator 3: Rise of the Machines|2003|150371112|WB
274|G.I. Joe: The Rise of Cobra|2009|150201498|Par.
275|Neighbors|2014|150157400|Uni.
276|American Hustle|2013|150117807|Sony
277|Puss in Boots|2011|149260504|P/DW
278|Les Miserables (2012)|2012|148809770|Uni.
279|Knocked Up|2007|148768917|Uni.
280|As Good as It Gets|1997|148478011|Sony
281|Little Fockers|2010|148438600|Uni.
282|Megamind|2010|148415853|P/DW
283|Hotel Transylvania|2012|148313048|Sony
284|Talladega Nights: The Ballad of Ricky Bobby|2006|148213377|Sony
285|Gran Torino|2008|148095302|WB
286|Lethal Weapon 2|1989|147253986|WB
287|X-Men: First Class|2011|146408305|Fox
288|Paul Blart: Mall Cop|2009|146336178|Sony
289|True Lies|1994|146282411|Fox
290|Lilo & Stitch|2002|145794338|BV
291|American Pie 2|2001|145103595|Uni.
292|Taken|2009|145000989|Fox
293|101 Dalmatians|1961|144880014|Dis.
294|The Great Gatsby (2013)|2013|144840419|WB
295|The Santa Clause|1994|144833357|BV
296|I, Robot|2004|144801023|Fox
297|Lethal Weapon 3|1992|144731527|WB
298|The Fast and the Furious|2001|144533925|Uni.
299|Doctor Dolittle|1998|144156605|Fox
300|Mamma Mia!|2008|144130063|Uni.
301|Rio|2011|143619809|Fox
302|Juno|2007|143495265|FoxS
303|Marley and Me|2008|143153751|Fox
304|The Smurfs|2011|142614158|Sony
305|XXX|2002|142109382|SonR
306|The Jungle Book|1967|141843612|Dis.
307|The Chronicles of Narnia: Prince Caspian|2008|141621490|BV
308|National Lampoon's Animal House|1978|141600000|Uni.
309|Pocahontas|1995|141579773|BV
310|A Few Good Men|1992|141340178|Col.
311|Slumdog Millionaire|2008|141319928|FoxS
312|Rush Hour|1998|141186864|NL
313|The Blair Witch Project|1999|140539099|Art.
314|Deep Impact|1998|140464664|Par.
315|Rush Hour 3|2007|140125968|NL
316|Look Who's Talking|1989|140088813|TriS
317|Stuart Little|1999|140035367|Sony
318|Taken 2|2012|139854287|Fox
319|Sister Act|1992|139605150|BV
320|The Matrix Revolutions|2003|139313948|WB
321|The Santa Clause 2|2002|139236327|BV
322|The King's Speech|2010|138797449|Wein.
323|Cheaper by the Dozen|2003|138614544|Fox
324|Bad Boys II|2003|138608444|Sony
325|Platoon|1986|138530565|Orion
326|21 Jump Street|2012|138447667|Sony
327|Good Will Hunting|1997|138433435|Mira.
328|A Christmas Carol (2009)|2009|137855863|BV
329|Dinosaur|2000|137748063|BV
330|The Conjuring|2013|137400141|WB
331|Click|2006|137355633|SonR
332|The Green Mile|1999|136801374|WB
333|Ransom|1996|136492681|BV
334|Godzilla|1998|136314294|Sony
335|101 Dalmatians (1996)|1996|136189294|BV
336|Argo|2012|136025503|WB
337|Anger Management|2003|135645823|SonR
338|Chicken Little|2005|135386665|BV
339|Teenage Mutant Ninja Turtles|1990|135265915|NL
340|Patch Adams|1998|135026902|Uni.
341|The Godfather|1972|134966411|Par.
342|Ride Along|2014|134938200|Uni.
343|The Incredible Hulk|2008|134806913|Uni.
344|Live Free or Die Hard|2007|134529403|Fox
345|Wanted|2008|134508551|Uni.
346|Identity Thief|2013|134506920|Uni.
347|Superman|1978|134218018|WB
348|The Rock|1996|134069511|BV
349|Mission: Impossible III|2006|134029801|Par.
350|Grown Ups 2|2013|133668525|Sony
351|Troy|2004|133378256|WB
352|Angels & Demons|2009|133375846|Sony
353|Alvin and the Chipmunks: Chipwrecked|2011|133110742|Fox
354|Bringing Down the House|2003|132716677|BV
355|The Wolverine|2013|132556852|Fox
356|The Departed|2006|132384315|WB
357|Hulk|2003|132177234|Uni.
358|Silver Linings Playbook|2012|132092958|Wein.
359|Close Encounters of the Third Kind|1977|132088635|Col.
360|Minority Report|2002|132072926|Fox
361|Fantastic Four: Rise of the Silver Surfer|2007|131921738|Fox
362|The Last Airbender|2010|131772187|Par.
363|Rio 2|2014|131538435|Fox
364|Lara Croft: Tomb Raider|2001|131168070|Par.
365|The Silence of the Lambs|1991|130742922|Orion
366|Honey, I Shrunk the Kids|1989|130724172|BV
367|The Flintstones|1994|130531208|Uni.
368|Lethal Weapon 4|1998|130444603|WB
369|Get Smart|2008|130319208|WB
370|American Gangster|2007|130164645|Uni.
371|American Beauty|1999|130096601|DW
372|An Officer and a Gentleman|1982|129795554|Par.
373|The Ring|2002|129128133|DW
374|The Nutty Professor (1996)|1996|128814019|Uni.
375|Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan|2006|128505958|Fox
376|Robots|2005|128200012|Fox
377|Coming to America|1988|128152301|Par.
378|Crouching Tiger, Hidden Dragon|2000|128078872|SPC
379|Shutter Island|2010|128012934|Par.
380|Rocky IV|1985|127873716|UA
381|Enchanted|2007|127807262|BV
382|Into the Woods|2014|127746251|BV
383|The Curious Case of Benjamin Button|2008|127509326|Par.
384|Anchorman 2: The Legend Continues|2013|127352707|Par.
385|Sweet Home Alabama|2002|127223418|BV
386|Dumb and Dumber|1994|127175374|NL
387|2 Fast 2 Furious|2003|127154901|Uni.
388|My Best Friend's Wedding|1997|127120029|Sony
389|Super 8|2011|127004179|Par.
390|The World Is Not Enough|1999|126943684|MGM
391|Smokey and the Bandit|1977|126737428|Uni.
392|Sleepless in Seattle|1993|126680884|TriS
393|Lucy|2014|126663600|Uni.
394|Bee Movie|2007|126631277|P/DW
395|Prometheus|2012|126477084|Fox
396|Safe House|2012|126373434|Uni.
397|Mr. Deeds|2002|126293452|Sony
398|The Truman Show|1998|125618201|Par.
399|Erin Brockovich|2000|125595205|Uni.
400|Ocean's Twelve|2004|125544280|WB
401|Terminator Salvation|2009|125322469|WB
402|Charlie's Angels|2000|125305545|Sony
403|Tomorrow Never Dies|1997|125304276|MGM
404|Lone Survivor|2013|125095601|Uni.
405|Rocky III|1982|125049125|UA
406|The Vow|2012|125014030|SGem
407|Life of Pi|2012|124987023|Fox
408|The Fault in our Stars|2014|124872350|Fox
409|Cloudy with a Chance of Meatballs|2009|124870275|Sony
410|The Devil Wears Prada|2006|124740460|Fox
411|Something's Gotta Give|2003|124728738|Sony
412|Traffic|2000|124115725|USA
413|The Birdcage|1996|124060553|MGM
414|City Slickers|1991|124033791|Col.
415|Good Morning, Vietnam|1987|123922370|BV
416|Rango|2011|123477607|Par.
417|The Nutty Professor II: The Klumps|2000|123309890|Uni.
418|G.I. Joe: Retaliation|2013|122523060|Par.
419|Cinderella (2015)|2015|122516793|BV
420|Clear and Present Danger|1994|122187717|Par.
421|The Hunt for Red October|1990|122012643|Par.
422|The Bodyguard|1992|122006740|WB
423|Wayne's World|1992|121697323|Par.
424|The Bourne Identity|2002|121661683|Uni.
425|Superbad|2007|121463226|Sony
426|Speed|1994|121248145|Fox
427|50 First Dates|2004|120908074|Sony
428|Mulan|1998|120620254|BV
429|Inglourious Basterds|2009|120540719|Wein.
430|Seabiscuit|2003|120277854|Uni.
431|Van Helsing|2004|120177084|Uni.
432|Four Christmases|2008|120146040|WB (NL)
433|I Now Pronounce You Chuck and Larry|2007|120059556|Uni.
434|The Mask|1994|119938730|NL
435|Cloudy with a Chance of Meatballs 2|2013|119793567|Sony
436|Hook|1991|119654823|TriS
437|Blazing Saddles|1974|119601481|WB
438|Walk the Line|2005|119519402|Fox
439|G-Force|2009|119436770|BV
440|Total Recall|1990|119412921|Sony
441|On Golden Pond|1981|119285432|Uni.
442|The Other Guys|2010|119219978|Sony
443|Fahrenheit 9/11|2004|119194771|Lions
444|The Sum of All Fears|2002|118907036|Par.
445|Hairspray (2007)|2007|118871849|NL
446|The Break-Up|2006|118703275|Uni.
447|Lemony Snicket's A Series of Unfortunate Events|2004|118634549|Par.
448|Blades of Glory|2007|118594548|P/DW
449|Back to the Future Part II|1989|118450002|Uni.
450|Salt|2010|118311368|Sony
451|Basic Instinct|1992|117727224|TriS
452|Now You See Me|2013|117723989|LG/S
453|Big Momma's House|2000|117559438|Fox
454|Die Hard 2: Die Harder|1990|117540947|Fox
455|Horrible Bosses|2011|117538559|WB (NL)
456|Rocky|1976|117235147|UA
457|Jackass 3-D|2010|117229692|Par.
458|Ocean's Thirteen|2007|117154724|WB
459|S.W.A.T.|2003|116934650|Sony
460|The Wolf of Wall Street|2013|116900694|Par.
461|8 Mile|2002|116750901|Uni.
462|Double Jeopardy|1999|116741558|Par.
463|Lee Daniels' The Butler|2013|116632095|Wein.
464|Green Lantern|2011|116601172|WB
465|Notting Hill|1999|116089678|Uni.
466|The Towering Inferno|1974|116000000|Fox
467|You've Got Mail|1998|115821495|WB
468|Ghost Rider|2007|115802596|Sony
469|Remember the Titans|2000|115654751|BV
470|District 9|2009|115646235|TriS
471|Unbroken|2014|115637895|Uni.
472|The Karate Kid Part II|1986|115103979|Col.
473|American Graffiti|1973|115000000|Uni.
474|Big|1988|114968774|Fox
475|Kingsman: The Secret Service|2015|114597783|Fox
476|DodgeBall: A True Underdog Story|2004|114326736|Fox
477|The Village|2004|114197520|BV
478|Bolt|2008|114053579|BV
479|Wild Wild West|1999|113804681|WB
480|Magic Mike|2012|113721571|WB
481|The Addams Family|1991|113502426|Par.
482|The Patriot|2000|113330342|Sony
483|The Bourne Legacy|2012|113203870|Uni.
484|The Pacifier|2005|113086868|BV
485|Night at the Museum: Secret of the Tomb|2014|112953299|Fox
486|Dr. Dolittle 2|2001|112952899|Fox
487|The Rocky Horror Picture Show|1975|112892319|Fox
488|It's Complicated|2009|112735375|Uni.
489|Spy Kids|2001|112719001|Mira.
490|Ghostbusters II|1989|112494738|Col.
491|Face/Off|1997|112276146|Par.
492|The Hangover Part III|2013|112200072|WB
493|Twins|1988|111938388|Uni.
494|Spy Kids 3D: Game Over|2003|111761982|Dim.
495|Doctor Zhivago|1965|111721910|MGM
496|Enemy of the State|1998|111549836|BV
497|The Little Mermaid|1989|111543479|BV
498|Mr. Peabody & Sherman|2014|111506430|Fox
499|Porky's|1982|111289673|Fox
500|The Last Samurai|2003|111127263|WB
501|Tropic Thunder|2008|110515313|P/DW
502|Valentine's Day|2010|110485654|WB
503|The Grudge|2004|110359362|Sony
504|Fun with Dick and Jane|2005|110332737|Sony
505|Freaky Friday|2003|110230332|BV
506|Bedtime Stories|2008|110101975|BV
507|Scary Movie 3|2003|110003217|Dim.
508|Star Trek IV: The Voyage Home|1986|109713132|Par.
509|The 40-Year-Old Virgin|2005|109449237|Uni.
510|Crocodile Dundee II|1988|109306210|Par.
511|Couples Retreat|2009|109204945|Uni.
512|One Flew Over the Cuckoo's Nest|1975|108981275|UA
513|A Time to Kill|1996|108766007|WB
514|Black Hawk Down|2001|108638745|SonR
515|Terms of Endearment|1983|108423489|Par.
516|Ace Ventura: When Nature Calls|1995|108385533|WB
517|The Princess Diaries|2001|108248956|BV
518|Superman II|1981|108185706|WB
519|Hop|2011|108085305|Uni.
520|Pulp Fiction|1994|107928762|Mira.
521|Paranormal Activity|2009|107918810|Par.
522|A League of Their Own|1992|107533928|Sony
523|Epic|2013|107518682|Fox
524|Watchmen|2009|107509799|WB
525|Batman and Robin|1997|107325195|WB
526|Captain Phillips|2013|107100855|Sony
527|Black Swan|2010|106954678|FoxS
528|Analyze This|1999|106885658|WB
529|Chicken Run|2000|106834564|DW
530|Miss Congeniality|2000|106807667|WB
531|Indecent Proposal|1993|106614059|Par.
532|Driving Miss Daisy|1989|106593296|WB
533|300: Rise of An Empire|2014|106580051|WB
534|GoldenEye|1995|106429941|MGM
535|Love Story|1970|106397186|Par.
536|Kramer Vs. Kramer|1979|106260000|Col.
537|The Italian Job|2003|106128601|Par.
538|How to Lose a Guy in 10 Days|2003|105813373|Par.
539|The First Wives Club|1996|105489203|Par.
540|Robin Hood|2010|105269730|Uni.
541|Interview with the Vampire|1994|105264608|WB
542|George of the Jungle|1997|105263257|BV
543|The Graduate|1967|104945305|AVCO
544|Phenomenon|1996|104636382|BV
545|American Wedding|2003|104565114|Uni.
546|Road to Perdition|2002|104454762|DW
547|The Princess and the Frog|2009|104400899|BV
548|The Chronicles of Narnia: The Voyage of the Dawn Treader|2010|104386950|Fox
549|Daddy Day Care|2003|104297061|SonR
550|Paranormal Activity 3|2011|104028807|Par.
551|Journey 2: The Mysterious Island|2012|103860290|WB
552|Dick Tracy|1990|103738726|BV
553|Rise of the Guardians|2012|103412758|P/DW
554|Dreamgirls|2006|103365956|P/DW
555|9 to 5|1980|103290500|Fox
556|The Expendables|2010|103068524|LGF
557|Scream|1996|103046663|Dim.
558|Just Go With It|2011|103028109|Sony
559|The General's Daughter|1999|102705852|Par.
560|The Aviator|2004|102610330|Mira.
561|American Pie|1999|102561004|Uni.
562|Daredevil|2003|102543518|Fox
563|The Girl with the Dragon Tattoo (2011)|2011|102515793|Sony
564|The Mummy: Tomb of the Dragon Emperor|2008|102491776|Uni.
565|The Maze Runner|2014|102427862|Fox
566|In the Line of Fire|1993|102314823|Col.
567|Butch Cassidy and the Sundance Kid|1969|102308889|Fox
568|Mary Poppins|1964|102272727|Dis.
569|Bambi|1942|102247150|RKO
570|Jackass Presents: Bad Grandpa|2013|102003019|Par.
571|Pacific Rim|2013|101802906|WB
572|Journey to the Center of the Earth|2008|101704370|WB (NL)
573|Gone in 60 Seconds|2000|101648571|BV
574|Maverick|1994|101631272|WB
575|Sleeping with the Enemy|1991|101599005|Fox
576|The Equalizer|2014|101530738|Sony
577|This is the End|2013|101470202|Sony
578|Eagle Eye|2008|101440743|P/DW
579|The Prince of Egypt|1998|101413188|DW
580|Scream 2|1997|101363301|Dim.
581|Stir Crazy|1980|101300000|Col.
582|Eraser|1996|101295562|WB
583|Noah|2014|101200044|Par.
584|Unforgiven|1992|101157447|WB
585|The Cat in the Hat|2003|101149285|Uni.
586|Con Air|1997|101117573|BV
587|Sleepy Hollow|1999|101071502|Par.
588|Collateral|2004|101005703|DW
589|Contact|1997|100920329|WB
590|Charlie's Angels: Full Throttle|2003|100830111|Sony
591|The Pelican Brief|1993|100768056|WB
592|Vanilla Sky|2001|100618344|Par.
593|Due Date|2010|100539043|WB
594|The Rugrats Movie|1998|100494675|Par.
595|Million Dollar Baby|2004|100492203|WB
596|Airport|1970|100489151|Uni.
597|Jumanji|1995|100475249|Sony
598|Step Brothers|2008|100468793|Sony
599|Evan Almighty|2007|100462298|Uni.
600|Casper|1995|100328194|Uni.
601|Shakespeare in Love|1998|100317794|Mira.
602|Bad Teacher|2011|100292856|Sony
603|Yogi Bear|2010|100246011|WB
604|Cowboys & Aliens|2011|100240551|Uni.
605|Edge of Tomorrow|2014|100206256|WB
606|The Hunchback of Notre Dame|1996|100138851|BV
607|Seven|1995|100125643|NL
608|Parenthood|1989|100047830|Uni.
609|You Don't Mess with the Zohan|2008|100018837|Sony
610|Die Hard: With A Vengeance|1995|100012499|Fox
611|Gnomeo and Juliet|2011|99967670|BV
612|Hercules|1997|99112101|BV
613|Olympus Has Fallen|2013|98925640|FD
614|The Green Hornet|2011|98780042|Sony
615|Date Night|2010|98711404|Fox
616|The Color Purple|1985|98467863|WB
617|Meet the Robinsons|2007|97822171|BV
618|Yes Man|2008|97690976|WB
619|Inspector Gadget|1999|97403112|BV
620|Public Enemies|2009|97104620|Uni.
621|The Social Network|2010|96962694|Sony
622|The Others|2001|96522687|Mira.
623|Legally Blonde|2001|96520674|MGM
