Rank|Title|Year|Lifetime Gross|Studio
1258|12 Years a Slave|2013|56671993|FoxS
1259|Guess Who's Coming to Dinner|1967|56666667|Col.
1260|Clueless|1995|56631572|Par.
1261|Rat Race|2001|56618055|Par.
1262|A Knight's Tale|2001|56569702|Sony
1263|Executive Decision|1996|56569216|WB
1264|Tombstone|1993|56505065|BV
1265|The Queen|2006|56441711|Mira.
1266|The Big Chill|1983|56399659|Col.
1267|Drumline|2002|56399184|Fox
1268|White Noise|2005|56386759|Uni.
1269|Edward Scissorhands|1990|56362352|Fox
1270|Once Upon a Time in Mexico|2003|56359780|Sony
1271|Dracula Untold|2014|56280355|Uni.
1272|Just Married|2003|56127162|Fox
1273|Primal Fear|1996|56116183|Par.
1274|Wallace and Gromit: The Curse of the Were-Rabbit|2005|56110897|DW
1275|Be Cool|2005|56046979|MGM
1276|ParaNorman|2012|56003051|Focus
1277|Saw|2004|56000369|Lions
1278|Romeo Must Die|2000|55973336|WB
1279|Forever Young|1992|55956187|WB
1280|Friends with Benefits|2011|55802754|SGem
1281|Free Birds|2013|55750480|Rela.
1282|Hansel and Gretel: Witch Hunters|2013|55703475|Par.
1283|Eyes Wide Shut|1999|55691208|WB
1284|Legend of the Guardians: The Owls of Ga'Hoole|2010|55675313|WB
1285|Police Academy 2: Their First Assignment|1985|55600000|WB
1286|Snake Eyes|1998|55591409|Par.
1287|Never Been Kissed|1999|55474756|Fox
1288|Alien 3|1992|55473545|Fox
1289|Never Say Never Again|1983|55432841|WB
1290|The Haunting in Connecticut|2009|55389516|LGF
1291|What Dreams May Come|1998|55382927|Poly
1292|Ghosts of Girlfriends Past|2009|55250026|WB (NL)
1293|Tyler Perry's Why Did I Get Married?|2007|55204525|LGF
1294|I Am Number Four|2011|55100437|BV
1295|Halloween: H20|1998|55041738|Dim.
1296|The Guardian|2006|55011732|BV
1297|Don't Say a Word|2001|55001642|Fox
1298|The Jackal|1997|54930280|Uni.
1299|Spawn|1997|54870175|NL
1300|Doc Hollywood|1991|54830779|WB
1301|Starship Troopers|1997|54814377|Sony
1302|For Your Eyes Only|1981|54812802|MGM
1303|Ordinary People|1980|54766923|Par.
1304|This Means War|2012|54760791|Fox
1305|Project X|2012|54731865|WB
1306|Source Code|2011|54712227|Sum.
1307|Small Soldiers|1998|54682547|DW
1308|The Omen (2006)|2006|54607383|Fox
1309|Crash|2005|54580300|Lions
1310|New Year's Eve|2011|54544638|WB (NL)
1311|The Abyss|1989|54461047|Fox
1312|Horrible Bosses 2|2014|54445357|WB
1313|The Woman in Black|2012|54333290|CBS
1314|The Hundred-Foot Journey|2014|54240821|BV
1315|Evil Dead (2013)|2013|54239856|TriS
1316|The Count of Monte Cristo|2002|54234062|BV
1317|La Bamba|1987|54215416|Col.
1318|TMNT|2007|54149098|WB
1319|Final Destination 3|2006|54098051|NL
1320|Insidious|2011|54009150|FD
1321|The Verdict|1982|53977250|Fox
1322|Paranormal Activity 4|2012|53900335|Par.
1323|The Three Musketeers (1993)|1993|53898845|BV
1324|Austin Powers: International Man of Mystery|1997|53883989|NL
1325|Tin Cup|1996|53854588|WB
1326|Paycheck|2003|53790451|Par.
1327|Rambo III|1988|53715611|TriS
1328|Hero|2004|53710019|Mira.
1329|P.S. I Love You|2007|53695808|WB
1330|Sabrina|1995|53672080|Par.
1331|Rookie of the Year|1993|53615089|Fox
1332|3:10 to Yuma (2007)|2007|53606916|LGF
1333|Problem Child|1990|53470891|Uni.
1334|Beethoven's 2nd|1993|53443066|Uni.
1335|Robocop|1987|53424681|Orion
1336|Yours, Mine and Ours|2005|53412862|Par.
1337|Life as We Know It|2010|53374681|WB
1338|Tim Burton's Corpse Bride|2005|53359111|WB
1339|T-Rex: Back to the Cretaceous (IMAX)|1998|53346750|Imax
1340|Tyler Perry's Madea's Big Happy Family|2011|53345287|LGF
1341|Final Destination|2000|53331147|NL
1342|Sleepers|1996|53315285|WB
1343|Papillon|1973|53267000|AAP
1344|Red 2|2013|53262560|LG/S
1345|The Devil Inside|2012|53261944|Par.
1346|Arachnophobia|1990|53208180|BV
1347|The Prestige|2006|53089891|BV
1348|Letters to Juliet|2010|53032453|Sum.
1349|Blow|2001|52990775|NL
1350|My Cousin Vinny|1992|52929168|Fox
1351|Sweeney Todd: The Demon Barber of Fleet Street|2007|52898073|P/DW
1352|Varsity Blues|1999|52894169|Par.
1353|Forces of Nature|1999|52888180|DW
1354|Message in a Bottle|1999|52880016|WB
1355|Outrageous Fortune|1987|52864741|BV
1356|Kicking and Screaming|2005|52842724|Uni.
1357|The Recruit|2003|52802140|BV
1358|Unfaithful|2002|52775765|Fox
1359|Gandhi|1982|52767889|Col.
1360|Four Weddings and a Funeral|1994|52700832|Gram.
1361|Diary of a Wimpy Kid: Rodrick Rules|2011|52698535|Fox
1362|King Kong (1976)|1976|52614445|Par.
1363|The Strangers|2008|52597610|Rog.
1364|No Good Deed (2014)|2014|52543632|SGem
1365|Tyler Perry's A Madea Christmas|2013|52543354|LGF
1366|Wall Street: Money Never Sleeps|2010|52474616|Fox
1367|Blade: Trinity|2004|52411906|NL
1368|The Royal Tenenbaums|2001|52364010|BV
1369|Radio|2003|52333738|SonR
1370|The Lake House|2006|52330111|WB
1371|The Color of Money|1986|52293982|BV
1372|Stand by Me|1986|52287414|Col.
1373|The Divergent Series: Insurgent|2015|52263680|LG/S
1374|Funny Girl|1968|52223306|Col.
1375|Star Trek V: The Final Frontier|1989|52210049|Par.
1376|Identity|2003|52159536|Sony
1377|The Little Rascals|1994|52125282|Uni.
1378|Awakenings|1990|52096475|Col.
1379|The Forbidden Kingdom|2008|52075270|LGF
1380|South Park - Bigger, Longer and Uncut|1999|52037603|Par.
1381|Predators|2010|52000688|Fox
1382|Tyler Perry's Temptation: Confessions of a Marriage Counselor|2013|51975354|LGF
1383|Amadeus|1984|51973029|Orion
1384|Underworld|2003|51970690|SGem
1385|King Arthur|2004|51882244|BV
1386|The Call|2013|51872378|TriS
1387|Funny People|2009|51855045|Uni.
1388|The Odd Life of Timothy Green|2012|51854875|BV
1389|Finding Forrester|2000|51804714|Sony
1390|Footloose (2011)|2011|51802742|Par.
1391|Ghost Rider: Spirit of Vengeance|2012|51774002|Sony
1392|Exit Wounds|2001|51758599|WB
1393|Tyler Perry's I Can Do Bad All By Myself|2009|51733921|LGF
1394|The China Syndrome|1979|51718367|Col.
1395|The French Connection|1971|51700000|Fox
1396|Selma|2014|51694025|Par.
1397|Finding Neverland|2004|51680613|Mira.
1398|Sleeping Beauty|1959|51600000|Dis.
1399|The Grey|2012|51580236|ORF
1400|My Bloody Valentine 3-D|2009|51545952|LGF
1401|A Cinderella Story|2004|51438175|WB
1402|Like Mike|2002|51432760|Fox
1403|Sneakers|1992|51432691|Uni.
1404|Enemy at the Gates|2001|51401758|Par.
1405|Hoodwinked|2005|51386611|Wein.
1406|Dragonheart|1996|51367375|Uni.
1407|Dennis the Menace|1993|51270765|WB
1408|The Phantom of the Opera|2004|51268815|WB
1409|The Love Bug|1969|51264000|Dis.
1410|Broadcast News|1987|51249404|Fox
1411|Resident Evil: Apocalypse|2004|51201453|SGem
1412|The Living Daylights|1987|51185897|UA
1413|Muppets Most Wanted|2014|51183113|BV
1414|The Naked Gun 33 1/3: The Final Insult|1994|51132598|Par.
1415|Hide and Seek|2005|51100486|Fox
1416|Up Close and Personal|1996|51088705|BV
1417|The Hitchhiker's Guide to the Galaxy|2005|51085416|BV
1418|Goldfinger|1964|51081062|UA
1419|Silver Streak|1976|51079064|Fox
1420|Atonement|2007|50927067|Focus
1421|Bull Durham|1988|50888729|Orion
1422|The Tale of Despereaux|2008|50877145|Uni.
1423|Apocalypto|2006|50866635|BV
1424|Something to Talk About|1995|50865589|WB
1425|The Road to El Dorado|2000|50863742|DW
1426|Ouija|2014|50856010|Uni.
1427|The Boxtrolls|2014|50837305|Focus
1428|Syriana|2005|50824620|WB
1429|The Mighty Ducks|1992|50752337|BV
1430|A Bridge Too Far|1977|50750000|UA
1431|The Net|1995|50727965|Sony
1432|The Hurricane|1999|50699241|Uni.
1433|The Crow|1994|50693129|Mira.
1434|Resident Evil: Extinction|2007|50648679|SGem
1435|Tyler Perry's Diary of a Mad Black Woman|2005|50633099|Lions
1436|Mighty Joe Young|1998|50632037|BV
1437|Fletch|1985|50612888|Uni.
1438|Jack Ryan: Shadow Recruit|2014|50577412|Par.
1439|Music and Lyrics|2007|50572589|WB
1440|The Tuxedo|2002|50547998|DW
1441|Eddie Murphy Raw|1987|50504655|Par.
1442|If I Stay|2014|50474843|WB
1443|The Four Seasons|1981|50427646|Uni.
1444|K-PAX|2001|50338485|Uni.
1445|A View to a Kill|1985|50327960|MGM
1446|Serendipity|2001|50294317|Mira.
1447|Hot Tub Time Machine|2010|50287556|MGM
1448|Natural Born Killers|1994|50282766|WB
1449|Angels in the Outfield (1994)|1994|50236831|BV
1450|Breakdown|1997|50159144|Par.
1451|The Book of Life (2014)|2014|50151543|Fox
1452|Little Women (1994)|1994|50083616|Sony
1453|Sommersby|1993|50081992|WB
1454|Absolute Power|1997|50068310|Sony
1455|Evita|1996|50047179|BV
1456|Stigmata|1999|50046268|MGM
1457|Home on the Range|2004|50030461|BV
1458|Under Siege 2: Dark Territory|1995|50024083|WB
1459|When a Man Loves a Woman|1994|50021959|BV
1460|Last Action Hero|1993|50016394|Col.
1461|A Walk in the Clouds|1995|50008143|Fox
1462|Dog Day Afternoon|1975|50000000|WB
1463|Red Tails|2012|49876377|Fox
1464|Pain and Gain|2013|49875291|Par.
1465|Legal Eagles|1986|49851591|Uni.
1466|Popeye|1980|49823037|Par.
1467|Major League|1989|49797148|Par.
1468|Racing Stripes|2005|49772522|WB
1469|Are We Done Yet?|2007|49662533|SonR
1470|Revenge of the Pink Panther|1978|49579269|UA
1471|Australia|2008|49554002|Fox
1472|Planes, Trains and Automobiles|1987|49530280|Par.
1473|Old Dogs|2009|49492060|BV
1474|Runaway Jury|2003|49443628|Fox
1475|Land of the Lost|2009|49438370|Uni.
1476|Shampoo|1975|49407734|Col.
1477|A Nightmare on Elm Street 4: The Dream Master|1988|49369899|NL
1478|European Vacation|1985|49364621|WB
1479|Focus (2015)|2015|49347832|WB
1480|Volcano|1997|49323468|Fox
1481|My Sister's Keeper|2009|49200230|WB
1482|The Possession|2012|49130154|LGF
1483|This Christmas|2007|49121934|SGem
1484|Bugsy|1991|49114016|TriS
1485|Cobra|1986|49042224|WB
1486|Michael Clayton|2007|49033882|WB
1487|Diary of a Wimpy Kid: Dog Days|2012|49008662|Fox
1488|The Deer Hunter|1978|48979328|Uni.
1489|Addams Family Values|1993|48919043|Par.
1490|Men of Honor|2000|48818921|Fox
1491|Firewall|2006|48751189|WB
1492|About Last Night (2014)|2014|48637684|SGem
1493|Speed 2: Cruise Control|1997|48608066|Fox
1494|Date Movie|2006|48548426|Fox
1495|Miss Congeniality 2: Armed and Fabulous|2005|48478006|WB
1496|The Dilemma|2011|48475290|Uni.
1497|Peter Pan|2003|48462608|Uni.
1498|Return to Never Land|2002|48430258|BV
1499|Big Fat Liar|2002|48360547|Uni.
1500|The Game|1997|48323648|Poly
1501|Just Like Heaven|2005|48318130|DW
1502|The House Bunny|2008|48237389|Sony
1503|Mask|1985|48230162|Uni.
1504|Wayne's World 2|1993|48197805|Par.
1505|Malcolm X|1992|48169910|WB
1506|G.I. Jane|1997|48169156|BV
1507|Tightrope|1984|48143579|WB
1508|Fat Albert|2004|48116322|Fox
1509|The Preacher's Wife|1996|48102795|BV
1510|The Land Before Time|1988|48092846|Uni.
1511|Sinister|2012|48086903|LG/S
1512|Kick-Ass|2010|48071303|LGF
1513|Secret Window|2004|48022900|Sony
1514|Single White Female|1992|48017402|Col.
1515|Nim's Island|2008|48006762|Fox
1516|The Natural|1984|47951979|TriS
1517|Agent Cody Banks|2003|47938330|MGM
1518|The Skeleton Key|2005|47907715|Uni.
1519|The Jungle Book 2|2003|47901582|BV
1520|When a Stranger Calls|2006|47860214|SGem
1521|Premonition|2007|47852604|Sony
1522|Alien Resurrection|1997|47795658|Fox
1523|Look Who's Talking Too|1990|47789074|TriS
1524|The Rundown|2003|47726342|Uni.
1525|Dan in Real Life|2007|47642963|BV
1526|New Jack City|1991|47624353|WB
1527|Into The Storm|2014|47602194|WB
1528|Precious: Based on the Novel "Push" by Sapphire|2009|47566524|LGF
1529|The Godfather Part II|1974|47542841|Par.
1530|The Kingdom|2007|47536778|Uni.
1531|An American Tail|1986|47483002|Uni.
1532|Hard to Kill|1990|47410827|WB
1533|Munich|2005|47403685|Uni.
1534|Kingdom of Heaven|2005|47398413|Fox
1535|Savages (2012)|2012|47382068|Uni.
1536|The Deep|1977|47346365|Col.
1537|Hostel|2006|47326473|Lions
1538|First Blood|1982|47212904|Orion
1539|Nanny McPhee|2006|47144110|Uni.
1540|Kate and Leopold|2001|47121859|Mira.
1541|The Judge|2014|47119388|WB
1542|The Toy|1982|47118057|Col.
1543|Killers|2010|47059963|LGF
1544|Jersey Boys|2014|47047013|WB
1545|Shooter|2007|47003582|Par.
1546|Halloween|1978|47000000|CIP
1547|Silent Hill|2006|46982632|Sony
1548|Final Destination 2|2003|46961214|NL
1549|Urban Cowboy|1980|46918287|Par.
1550|See No Evil, Hear No Evil|1989|46908987|TriS
1551|The Spy Who Loved Me|1977|46838673|UA
1552|Goodfellas|1990|46836214|WB
1553|The River Wild|1994|46816343|Uni.
1554|Boogeyman|2005|46752382|SGem
1555|Dude, Where's My Car?|2000|46729800|Fox
1556|Firefox|1982|46708276|WB
1557|The Rocketeer|1991|46704056|BV
1558|Practical Magic|1998|46683377|WB
1559|The Distinguished Gentleman|1992|46666502|BV
1560|Colors|1988|46616067|Orion
1561|The Brady Bunch Movie|1995|46576136|Par.
1562|Phone Booth|2003|46566212|Fox
1563|The Legend of Zorro|2005|46464023|Sony
1564|Arthur Christmas|2011|46462469|Sony
1565|Walking Tall|2004|46437717|MGM
1566|The Best Exotic Marigold Hotel|2012|46412041|FoxS
1567|Malice|1993|46405336|Col.
1568|Jupiter Ascending|2015|46395319|WB
1569|Hubble 3D|2010|46370134|WB
1570|Full Metal Jacket|1987|46357676|WB
1571|Romeo + Juliet|1996|46351345|Fox
1572|It's a Mad, Mad, Mad, Mad World|1963|46332858|MGM
1573|Blended|2014|46294610|WB
1574|The Enforcer|1976|46236000|WB
1575|Black Rain|1989|46212055|Par.
1576|One Fine Day|1996|46151454|Fox
1577|Deep Sea 3D (IMAX)|2006|46097386|WB
1578|Marked for Death|1990|46044396|Fox
1579|Made of Honor|2008|46012734|Sony
1580|Gangster Squad|2013|46000903|WB
1581|The Full Monty|1997|45950122|FoxS
1582|The Rainmaker (1997)|1997|45916769|Par.
1583|The Breakfast Club|1985|45875171|Uni.
1584|Greystoke: The Legend of Tarzan|1984|45858563|WB
1585|In Good Company|2004|45806659|Uni.
1586|Underworld: Rise of the Lycans|2009|45802315|SGem
1587|Saw 3D|2010|45710178|LGF
1588|Robocop 2|1990|45681173|Orion
1589|Young Guns|1988|45661556|Fox
1590|College Road Trip|2008|45610425|BV
1591|D2: The Mighty Ducks|1994|45610410|BV
1592|The Tigger Movie|2000|45554533|BV
1593|Jaws 3-D|1983|45517055|Uni.
1594|O Brother, Where Art Thou?|2000|45512588|BV
1595|Moonrise Kingdom|2012|45512466|Focus
1596|Medicine Man|1992|45500797|BV
1597|Scarface (1983)|1983|45408703|Uni.
1598|Thelma and Louise|1991|45360915|MGM
1599|Bean|1997|45319423|Gram.
1600|Here Comes the Boom|2012|45290318|Sony
1601|Domestic Disturbance|2001|45246095|Par.
1602|Zoolander|2001|45172250|Par.
1603|The Giver|2014|45090374|Wein.
1604|28 Days Later|2003|45064915|FoxS
1605|Hall Pass|2011|45060734|WB (NL)
1606|Frequency|2000|45010278|NL
1607|The Way We Were|1973|45000000|Col.
1608|Foul Play|1978|44999621|Par.
1609|Made in America|1993|44942695|WB
1610|The End|1978|44917151|UA
1611|Cop Out|2010|44875481|WB
1612|Cop Land|1997|44862187|Mira.
1613|Timecop|1994|44853581|Uni.
1614|Lawrence of Arabia|1962|44824144|Col.
1615|Red Dawn (2012)|2012|44806783|FD
1616|A Nightmare on Elm Street 3: Dream Warriors|1987|44793222|NL
1617|The Good Son|1993|44789789|Fox
1618|Midnight Cowboy|1969|44785053|UA
1619|The Replacements|2000|44737059|WB
1620|The Internship|2013|44672764|Fox
1621|The Artist|2011|44671682|Wein.
1622|Meet Joe Black|1998|44619100|Uni.
1623|Lost in Translation|2003|44585453|Focus
1624|The Negotiator|1998|44547681|WB
1625|Napoleon Dynamite|2004|44540956|FoxS
1626|The Odd Couple|1968|44527234|Par.
1627|Nothing to Lose|1997|44480039|BV
1628|Instructions Not Included|2013|44467206|LGF
1629|Up in Smoke|1978|44364244|Par.
1630|The Shining|1980|44360123|WB
1631|The Three Stooges|2012|44338224|Fox
1632|Confessions of a Shopaholic|2009|44277350|BV
1633|Amistad|1997|44229441|DW
1634|Young Guns II|1990|44143410|Fox
1635|St. Vincent|2014|44137712|Wein.
1636|The Lovely Bones|2009|44114232|P/DW
1637|The Sisterhood of the Traveling Pants 2|2008|44089964|WB
1638|Passenger 57|1992|44065653|WB
1639|The Beverly Hillbillies|1993|44029386|Fox
1640|Seems Like Old Times|1980|43995918|Col.
1641|The Last Emperor|1987|43984230|Col.
1642|Speed Racer|2008|43945766|WB
1643|The One|2001|43905746|SonR
1644|Must Love Dogs|2005|43894863|WB
1645|Love at First Bite|1979|43885000|AIP
1646|Prom Night (2008)|2008|43869350|SGem
1647|Always|1989|43858790|Uni.
1648|Soul Surfer|2011|43853424|TriS
1649|Wall Street|1987|43848069|Fox
1650|Diamonds Are Forever|1971|43819547|UA
1651|License to Wed|2007|43799818|WB
1652|Underdog|2007|43760605|BV
1653|Pokemon: The Movie 2000|2000|43758684|WB
1654|Tears of the Sun|2003|43734876|SonR
1655|Soul Food|1997|43700855|Fox
1656|West Side Story|1961|43656822|MGM
1657|City Slickers II: The Legend of Curly's Gold|1994|43622150|Col.
1658|Under the Tuscan Sun|2003|43610723|BV
1659|Cats & Dogs: The Revenge of Kitty Galore|2010|43585753|WB
1660|Police Academy 3: Back in Training|1986|43579163|WB
1661|Need for Speed|2014|43577636|BV
1662|We Are Marshall|2006|43545364|WB
1663|A River Runs Through It|1992|43440294|Col.
1664|Year One|2009|43337279|Sony
1665|Edge of Darkness|2010|43313890|WB
1666|Star Trek: Nemesis|2002|43254409|Par.
1667|K-9|1989|43247647|Uni.
1668|The Jungle Book (1994)|1994|43229904|BV
1669|Point Break|1991|43218387|Fox
1670|Biloxi Blues|1988|43184798|Uni.
1671|Sense and Sensibility|1995|43182776|Sony
1672|A Million Ways to Die in the West|2014|43139300|Uni.
1673|No Reservations|2007|43107979|WB
1674|Transporter 2|2005|43095856|Fox
1675|You Only Live Twice|1967|43084787|UA
1676|Reign of Fire|2002|43061982|BV
1677|Wag the Dog|1997|43061945|NL
1678|Meatballs|1979|43046003|Par.
1679|John Wick|2014|43037835|LG/S
1680|The Longest Yard (1974)|1974|43008075|Par.
1681|Regarding Henry|1991|43001500|Par.
1682|Rumor Has It|2005|43000262|WB
1683|Escape from Alcatraz|1979|43000000|Par.
1684|Snitch|2013|42930462|LG/S
1685|The Devil's Own|1997|42868348|Sony
1686|The Main Event|1979|42800000|WB
1687|Gulliver's Travels|2010|42779261|Fox
1688|Rambo|2008|42754105|LGF
1689|Death at a Funeral (2010)|2010|42739347|SGem
1690|The Lizzie McGuire Movie|2003|42734455|BV
1691|Spanglish|2004|42726869|Sony
1692|Heartbreak Ridge|1986|42724017|WB
1693|Mannequin|1987|42721196|Fox
1694|Because I Said So|2007|42674040|Uni.
1695|The Unborn (2009)|2009|42670410|Uni.
1696|Glory Road|2006|42647449|BV
1697|Beverly Hills Cop III|1994|42614912|Par.
1698|Final Destination 5|2011|42587643|WB (NL)
1699|Casino|1995|42512375|Uni.
1700|Welcome Home Roscoe Jenkins|2008|42436517|Uni.
1701|Step Up 3-D|2010|42400223|BV
1702|Time Bandits|1981|42365581|Emb
1703|Resident Evil: Retribution|2012|42345531|SGem
1704|Blue Thunder|1983|42313354|Col.
1705|Lady in the Water|2006|42285169|WB
1706|Teenage Mutant Ninja Turtles III|1993|42273609|NL
1707|Planet 51|2009|42194060|Sony
1708|Birdman|2014|42190774|FoxS
1709|White Nights|1985|42160849|Col.
1710|Drag Me to Hell|2009|42100625|Uni.
1711|The Cabin in the Woods|2012|42073277|LGF
1712|Fever Pitch|2005|42071069|Fox
1713|Secondhand Lions|2003|42070939|NL
1714|Dirty Rotten Scoundrels|1988|42039085|Orion
1715|Riddick|2013|42025135|Uni.
1716|Dolphin Tale 2|2014|42024533|WB
1717|Around the World in 80 Days|1956|42000000|UA
1718|Tyler Perry's Meet the Browns|2008|41975388|LGF
1719|Donnie Brasco|1997|41909762|Sony
1720|The Fisher King|1991|41895491|TriS
1721|Thirteen Ghosts|2001|41867960|WB
1722|Nights in Rodanthe|2008|41850659|WB
1723|Return of the Pink Panther|1975|41833347|UA
1724|Homeward Bound: The Incredible Journey|1993|41833324|BV
1725|Exorcist: The Beginning|2004|41821986|WB
1726|Aliens Vs. Predator - Requiem|2007|41797066|Fox
1727|The Hills Have Eyes|2006|41778863|FoxS
1728|Oh, God!|1977|41687243|WB
1729|The Hours|2002|41675994|Par.
1730|Cheech & Chong's Next Movie|1980|41675194|Uni.
1731|Ronin|1998|41616262|MGM
1732|Orphan|2009|41596251|WB
1733|Bandits|2001|41575141|MGM
1734|High Crimes|2002|41543917|Fox
1735|Gremlins 2: The New Batch|1990|41482207|WB
1736|The Great Outdoors|1988|41455230|Uni.
1737|Pale Rider|1985|41410568|WB
1738|About a Boy|2002|41385278|Uni.
1739|Peggy Sue Got Married|1986|41382841|TriS
1740|Gosford Park|2001|41308615|USA
1741|Tequila Sunrise|1988|41292551|WB
1742|A Walk to Remember|2002|41281092|WB
1743|The Peacemaker|1997|41263140|DW
1744|Private Parts|1997|41230799|Par.
1745|What to Expect When You're Expecting|2012|41152203|LGF
1746|Clash of the Titans (1981)|1981|41092328|MGM
1747|Out of Time|2003|41088845|MGM
1748|The Mirror Has Two Faces|1996|41083864|Sony
1749|Orange County|2002|41076018|Par.
1750|The Last Exorcism|2010|41034350|LGF
1751|John Tucker Must Die|2006|41011711|Fox
1752|End of Watch|2012|41003371|ORF
1753|Poltergeist II: The Other Side|1986|40996665|MGM
1754|The Siege|1998|40981289|Fox
1755|The Ides of March|2011|40962534|Sony
1756|Rocky V|1990|40946358|UA
1757|The Water Horse: Legend of the Deep|2007|40946255|SonR
1758|Pee-Wee's Big Adventure|1985|40940662|WB
1759|Money Talks|1997|40922619|NL
1760|Windtalkers|2002|40914068|MGM
1761|Falling Down|1993|40903593|WB
1762|Revenge of the Nerds|1984|40874452|Fox
1763|House on Haunted Hill|1999|40846082|WB
1764|Brewster's Millions|1985|40833132|Uni.
1765|Absence of Malice|1981|40716963|Col.
1766|Short Circuit|1986|40697761|TriS
1767|Encino Man|1992|40693477|BV
1768|Max Payne|2008|40689393|Fox
1769|Stranger Than Fiction|2006|40660952|Sony
1770|Mysteries of Egypt (IMAX)|1998|40593486|Imax
1771|Three Fugitives|1989|40586886|BV
1772|Pleasantville|1998|40584421|NL
1773|The Dark Crystal|1982|40577001|Uni.
1774|Duplicity|2009|40572825|Uni.
1775|Jagged Edge|1985|40491165|Col.
1776|Bill & Ted's Excellent Adventure|1989|40485039|Orion
1777|Pretty in Pink|1986|40471663|Par.
1778|The Fly|1986|40456565|Fox
1779|2010|1984|40400657|MGM
1780|Blue Crush|2002|40390647|Uni.
1781|The Master of Disguise|2002|40388794|SonR
1782|Reds|1981|40382659|Par.
1783|You Got Served|2004|40363810|SGem
1784|Swiss Family Robinson|1960|40356000|Dis.
1785|Heartbreakers|2001|40336607|MGM
1786|I Am Sam|2001|40311852|NL
1787|The Faculty|1998|40283321|Mira.
1788|Hanna|2011|40259119|Focus
1789|Mo' Money|1992|40227006|Col.
1790|Bridget Jones: The Edge of Reason|2004|40226215|Uni.
1791|Hardball|2001|40222729|Par.
1792|There Will Be Blood|2007|40222514|ParV
1793|Yentl|1983|40218899|MGM
1794|Catwoman|2004|40202379|WB
1795|Legion (2010)|2010|40168080|SGem
1796|The Piano|1993|40157856|Mira.
1797|Big Business|1988|40150487|BV
1798|Resident Evil|2002|40119709|SGem
1799|The Wild Thornberrys|2002|40108697|Par.
1800|Hannah and Her Sisters|1986|40084041|Orion
1801|Righteous Kill|2008|40081410|Over.
1802|Collateral Damage|2002|40077257|WB
1803|Man of the House|1995|40070995|BV
1804|Roxanne|1987|40050884|Col.
1805|A Haunted House|2013|40041683|ORF
1806|Enough|2002|40007742|Sony
1807|I Still Know What You Did Last Summer|1998|40002112|Sony
1808|Manhattan|1979|39946780|MGM
1809|The Illusionist|2006|39868642|YFG
1810|Caddyshack|1980|39846344|WB
1811|The Ladykillers|2004|39799191|BV
1812|The Beach|2000|39785027|Fox
1813|Magnum Force|1973|39768000|WB
1814|Friday the 13th (1980)|1980|39754601|Par.
1815|Epic Movie|2007|39739367|Fox
1816|Hitman|2007|39687694|Fox
1817|Jackie Brown|1997|39673162|Mira.
1818|Out for Justice|1991|39673161|WB
1819|30 Days of Night|2007|39568996|Sony
1820|Conan the Barbarian|1982|39565475|Uni.
1821|Benji|1974|39552000|Mul.
1822|The Texas Chainsaw Massacre: The Beginning|2006|39517763|NL
1823|Hocus Pocus|1993|39514713|BV
1824|Nobody's Fool|1994|39491975|Par.
1825|Little Nicky|2000|39464775|NL
1826|Crazy Heart|2009|39464306|FoxS
1827|Burlesque|2010|39440655|SGem
1828|Joe Versus the Volcano|1990|39404261|WB
1829|Rugrats Go Wild|2003|39402572|Par.
1830|Body of Lies|2008|39394666|WB
1831|Dead Man Walking|1995|39363635|Gram.
1832|The Expendables 3|2014|39322544|LGF
1833|Blind Date|1987|39321715|TriS
1834|Lakeview Terrace|2008|39263506|SGem
1835|Anna and the King|1999|39263420|Fox
1836|Three Amigos|1986|39246734|Orion
1837|Pitch Black|2000|39240659|USA
1838|The Adventures of Sharkboy and Lavagirl in 3D|2005|39177684|Dim.
1839|The Grudge 2|2006|39143839|Sony
1840|The Crazies|2010|39123589|Over.
1841|The Sword and the Sorcerer|1982|39103425|Gr1
1842|What's Love Got to Do with It|1993|39100956|BV
1843|Undercover Brother|2002|39089928|Uni.
1844|Postcards from the Edge|1990|39071603|Col.
1845|The Sisterhood of the Traveling Pants|2005|39053061|WB
1846|Something Borrowed|2011|39046489|WB
1847|Fracture|2007|39015018|NL
1848|Primary Colors|1998|39001187|Uni.
1849|Funny Lady|1975|39000000|Col.
1850|The Karate Kid Part III|1989|38956288|Col.
1851|Earth to Echo|2014|38934842|Rela.
1852|Hot Shots! Part Deux|1993|38922972|Fox
1853|French Kiss|1995|38896854|Fox
1854|The Paper|1994|38824341|Uni.
1855|Happy Gilmore|1996|38824099|Uni.
1856|Little Shop of Horrors|1986|38748395|WB
1857|About Last Night...|1986|38702310|TriS
1858|Breakin'|1984|38682707|Can.
1859|Stardust|2007|38634938|Par.
1860|The Great Mouse Detective|1986|38625550|BV
1861|The Ghost and the Darkness|1996|38619405|Par.
1862|On Deadly Ground|1994|38590458|WB
1863|Surrogates|2009|38577772|BV
1864|Sex Tape|2014|38543473|Sony
1865|Spy Kids: All the Time in the World|2011|38538188|W/Dim.
1866|McFarland, USA|2015|38531357|BV
1867|Rock of Ages|2012|38518613|WB (NL)
1868|Running Scared|1986|38500726|MGM
1869|Bachelor Party|1984|38435947|Fox
1870|Gridiron Gang|2006|38432823|Sony
1871|Midnight Run|1988|38413606|Uni.
1872|Pride and Prejudice|2005|38405088|Focus
1873|Last Holiday|2006|38399961|Par.
